freq,unit,geo\TIME_PERIOD	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HAB_P,CZ03	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	137.19 	140.22 	140.15 	134.54 b	138.66 	139.90 	145.93 	146.61 	147.08 	149.38 	151.23 	151.01 	148.08 	148.72 	147.83 	150.42 
A,HAB_P,CZ04	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	146.94 	148.93 	149.25 	149.29 b	153.31 	156.14 	159.40 	159.82 	160.03 	157.64 	156.97 	158.35 	159.84 	159.33 	157.61 	158.97 
A,HAB_P,CZ05	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	146.05 	147.97 	146.33 	147.40 b	150.74 	152.64 	154.60 	154.91 	154.96 	155.27 	156.42 	156.17 	157.47 	158.87 	155.76 	157.36 
A,HAB_P,CZ06	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	126.38 	127.89 	129.66 	127.01 b	132.42 	134.47 	140.08 	140.97 	141.37 	140.50 	140.15 	139.17 	140.92 	140.86 	140.09 	141.54 
A,HAB_P,CZ07	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	142.80 	144.18 	146.36 	141.80 b	144.28 	148.22 	154.97 	155.94 	157.16 	156.78 	156.94 	157.02 	156.75 	156.68 	157.69 	159.43 
A,HAB_P,CZ08	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	140.33 	143.27 	149.34 	139.08 b	142.90 	147.53 	148.93 	148.57 	146.50 	145.73 	146.36 	146.44 	145.58 	146.27 	145.02 	145.45 
A,HAB_P,DE	103.48 	102.98 	103.29 	104.53 	106.64 	107.59 	108.76 	109.69 	110.99 	112.70 	114.36 	116.58 	118.10 	120.52 	121.37 	121.75 	121.37 	120.11 	119.36 	119.96 	120.81 	121.53 	122.95 	124.03 	124.96 	125.26 	126.35 	127.91 	128.86 	130.50 
A,HAB_P,DK	: 	: 	: 	: 	215.38 	220.26 	227.89 	232.90 	237.07 	233.33 	241.94 	251.82 	259.28 	263.78 	270.92 	280.07 	286.23 	285.89 	319.54 b	: 	325.67 	371.92 be	395.24 e	385.18 e	383.39 	382.90 	385.67 	386.47 	397.98 	403.76 
A,HAB_P,DK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	230.62 	237.75 	243.66 	218.21 	281.45 b	: 	293.40 	398.09 be	401.14 e	313.13 e	326.03 	332.44 	336.03 	334.10 	342.44 	358.51 
A,HAB_P,DK02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	293.11 	306.21 	298.73 	335.31 	312.17 b	: 	314.54 	322.41 be	324.41 e	351.86 e	339.35 	356.00 	362.67 	361.87 	373.19 	373.19 
A,HAB_P,DK03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	290.72 	304.16 	311.28 	326.66 	328.59 b	: 	337.06 	341.21 be	432.00 e	453.00 e	436.45 	411.19 	395.87 	399.53 	421.02 	414.99 
A,HAB_P,DK04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	294.37 	301.70 	317.40 	338.04 	381.36 b	: 	361.81 	416.31 be	413.09 e	463.02 e	453.54 	444.83 	460.99 	462.97 	461.97 	475.75 
A,HAB_P,DK05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	294.10 	301.13 	306.43 	318.53 	326.53 b	: 	357.99 	360.72 be	391.99 e	457.07 e	440.96 	437.28 	443.83 	453.64 	484.50 	456.93 
A,HAB_P,EL	200.61 	203.00 	202.24 	201.74 	203.17 	204.22 	209.36 	209.82 	207.78 	210.54 	211.12 	211.20 	209.24 	205.22 	205.03 	206.48 	203.04 	223.19 b	223.47 	224.95 	235.76 	235.97 	235.52 	238.02 	237.58 	238.23 	240.84 	238.16 	235.95 	234.71 
A,HAB_P,EL30	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	190.46 	192.25 	195.07 	196.90 	197.74 	197.52 	199.58 	201.43 	204.80 	209.05 
A,HAB_P,EL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	313.22 	318.04 	317.51 	322.35 	329.24 	346.34 	361.07 	349.60 	324.95 	294.23 
A,HAB_P,EL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	332.47 	311.47 	328.91 	331.61 	321.31 	309.63 	437.13 	418.39 	381.13 	367.68 
A,HAB_P,EL43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	261.13 	254.93 	265.52 	263.76 	262.04 	265.14 	262.26 	262.53 	250.78 	253.36 
A,HAB_P,EL51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	260.59 	246.29 	247.85 	246.49 	248.75 	247.81 	246.27 	234.11 	228.77 	223.66 
A,HAB_P,EL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	227.13 	231.60 	223.61 	220.52 	221.84 	221.96 	227.08 	225.02 	222.83 	219.73 
A,HAB_P,EL53	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	238.41 	236.63 	236.37 	239.81 	245.55 	248.48 	234.63 	231.42 	234.98 	229.69 
A,HAB_P,EL54	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	232.00 	239.50 	235.04 	233.69 	232.66 	228.94 	216.41 	208.75 	206.02 	205.18 
A,HAB_P,EL61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	196.72 	192.99 	184.36 	194.20 	183.14 	187.35 	182.97 	173.56 	173.65 	172.93 
A,HAB_P,EL62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	378.95 	371.62 	365.02 	373.48 	341.09 	335.33 	336.38 	299.50 	305.14 	300.94 
A,HAB_P,EL63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	310.03 	335.73 	321.40 	324.78 	331.19 	337.09 	335.11 	328.04 	316.36 	320.53 
A,HAB_P,EL64	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	606.52 	586.03 	583.03 	640.32 	631.47 	632.30 	644.99 	595.08 	535.51 	462.18 
A,HAB_P,EL65	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	415.89 	416.46 	425.29 	452.50 	456.53 	457.55 	459.37 	478.41 	455.72 	426.91 
A,HAB_P,ES	247.64 	251.21 	256.87 	259.98 	264.68 	268.14 	269.88 	273.96 	279.09 	283.58 	291.12 	294.23 	299.28 	303.59 	308.00 	312.75 	316.88 	321.33 b	328.26 	334.34 	337.45 	337.12 	335.66 	337.17 	336.22 	336.53 	339.44 	338.38 	337.73 	339.80 p
A,HAB_P,ES11	: 	: 	: 	: 	: 	: 	269.47 	272.12 	274.27 	279.49 	283.39 	273.58 	277.08 	276.71 	277.54 	278.37 	280.84 	279.98 b	291.61 	287.92 	297.51 	302.13 	298.86 	300.18 	300.58 	301.04 	303.34 	302.39 	310.78 	311.83 p
A,HAB_P,ES12	: 	: 	: 	: 	: 	: 	266.47 	260.84 	277.47 	265.97 	273.88 	280.88 	277.00 	277.33 	278.25 	284.72 	287.04 	294.04 b	300.39 	300.77 	302.44 	308.22 	306.66 	304.91 	296.34 	294.18 	289.19 	287.14 	284.38 	282.31 p
A,HAB_P,ES13	: 	: 	: 	: 	: 	: 	254.01 	262.97 	257.58 	259.62 	260.94 	266.48 	266.79 	276.91 	271.44 	280.66 	288.39 	299.33 b	310.56 	313.14 	316.42 	308.53 	303.03 	304.07 	306.48 	305.07 	304.56 	287.34 	299.95 	308.62 p
A,HAB_P,ES21	: 	: 	: 	: 	: 	: 	250.09 	253.93 	256.80 	257.43 	262.73 	263.12 	261.33 	265.27 	267.27 	270.24 	274.99 	276.26 b	282.96 	285.94 	294.28 	296.77 	298.65 	302.81 	303.45 	310.18 	307.02 	300.90 	301.59 	301.90 p
A,HAB_P,ES22	: 	: 	: 	: 	: 	: 	235.25 	238.19 	241.20 	249.30 	255.87 	257.82 	261.56 	280.77 	262.95 	264.01 	266.22 	267.96 b	268.53 	289.62 	294.14 	296.56 	300.73 	300.67 	302.03 	302.29 	298.14 	291.65 	299.00 	308.89 p
A,HAB_P,ES23	: 	: 	: 	: 	: 	: 	309.76 	320.39 	313.31 	316.78 	321.61 	300.58 	320.57 	321.48 	329.28 	338.29 	359.80 	343.04 b	344.69 	347.99 	320.14 	313.14 	312.56 	309.01 	308.13 	313.86 	309.19 	302.44 	308.34 	311.32 p
A,HAB_P,ES24	: 	: 	: 	: 	: 	: 	234.05 	236.90 	239.90 	242.19 	244.53 	248.89 	253.57 	255.00 	266.17 	265.81 	266.30 	268.75 b	271.10 	277.42 	275.79 	272.31 	272.06 	269.72 	266.44 	266.95 	276.02 	273.87 	272.43 	275.23 p
A,HAB_P,ES30	: 	: 	: 	: 	: 	: 	277.24 	285.82 	298.14 	305.14 	312.87 	321.06 	315.77 	319.47 	326.57 	323.77 	332.26 	339.32 b	340.73 	346.62 	350.15 	350.47 	355.49 	360.89 	363.26 	365.20 	366.17 	366.65 	372.37 	379.20 p
A,HAB_P,ES41	: 	: 	: 	: 	: 	: 	231.35 	228.73 	229.14 	237.67 	240.41 	243.70 	253.49 	253.95 	281.76 	284.19 	282.92 	283.46 b	277.64 	282.88 	290.18 	290.42 	287.58 	291.93 	288.31 	284.13 	285.74 	282.51 	278.33 	279.20 p
A,HAB_P,ES42	: 	: 	: 	: 	: 	: 	344.50 	352.55 	358.28 	363.18 	374.38 	381.36 	391.84 	390.74 	390.47 	389.57 	385.48 	398.20 b	405.03 	445.23 	456.19 	453.82 	434.82 	424.97 	426.11 	429.06 	428.44 	428.26 	405.89 	412.83 p
A,HAB_P,ES43	: 	: 	: 	: 	: 	: 	281.32 	274.99 	277.43 	273.17 	272.47 	288.68 	288.23 	292.65 	284.31 	279.04 	286.99 	282.44 b	286.13 	293.10 	285.23 	287.75 	302.64 	306.56 	306.42 	302.88 	298.29 	285.33 	282.19 	287.69 p
A,HAB_P,ES51	: 	: 	: 	: 	: 	: 	216.20 	216.80 	219.86 	218.63 	227.60 	226.29 	232.56 	232.57 	236.86 	241.95 	245.24 	248.27 b	259.47 	261.90 	266.18 	262.77 	261.23 	259.84 	257.69 	257.81 	260.42 	260.83 	264.28 	266.57 p
A,HAB_P,ES52	: 	: 	: 	: 	: 	: 	351.69 	361.20 	372.63 	375.58 	387.45 	391.90 	402.17 	405.35 	399.35 	410.05 	408.85 	406.64 b	418.74 	430.30 	429.26 	426.34 	424.31 	423.75 	423.04 	423.19 	431.22 	418.49 	419.48 	435.08 p
A,HAB_P,ES53	: 	: 	: 	: 	: 	: 	241.38 	246.74 	246.70 	257.15 	271.19 	283.78 	295.82 	309.83 	301.36 	308.47 	322.24 	324.10 b	333.29 	336.40 	338.39 	334.25 	322.38 	323.77 	333.80 	333.59 	347.87 	355.54 	371.73 	361.97 p
A,HAB_P,ES61	: 	: 	: 	: 	: 	: 	338.91 	339.87 	347.63 	358.57 	370.15 	377.33 	389.93 	397.24 	400.45 	417.26 	423.92 	443.28 b	450.30 	461.78 	455.89 	460.16 	454.29 	460.55 	455.23 	456.47 	458.76 	456.46 	435.04 	422.14 p
A,HAB_P,ES62	: 	: 	: 	: 	: 	: 	299.62 	308.82 	305.88 	333.05 	331.68 	325.66 	322.75 	324.04 	318.85 	318.49 	321.06 	319.02 b	315.17 	313.72 	314.86 	312.76 	308.71 	309.29 	314.48 	311.33 	307.30 	322.91 	318.20 	329.92 p
A,HAB_P,ES63	: 	: 	: 	: 	: 	: 	308.07 	322.81 	312.89 	308.65 	312.82 	387.88 	391.31 	403.76 	410.47 	386.24 	422.22 	457.14 b	462.20 	462.59 	470.04 	470.46 	475.69 	476.65 	480.91 	480.33 	471.83 	481.61 	488.32 	498.69 p
A,HAB_P,ES64	: 	: 	: 	: 	: 	: 	329.19 	290.17 	337.49 	328.21 	325.34 	322.53 	330.05 	352.53 	357.68 	438.21 	439.45 	463.82 b	483.91 	501.25 	507.55 	510.42 	513.13 	527.05 	520.41 	526.08 	525.35 	504.48 	500.77 	505.18 p
A,HAB_P,ES70	: 	: 	: 	: 	: 	: 	203.62 	216.19 	219.49 	227.60 	233.53 	241.96 	245.89 	271.47 	281.01 	289.69 	294.51 	299.35 b	309.30 	316.89 	321.65 	320.70 	318.01 	322.57 	322.23 	322.07 	343.69 	359.89 	354.23 	353.26 p
A,HAB_P,FI	121.19 e	122.04 e	123.13 e	123.21 e	126.64 e	128.66 e	131.49 e	132.63 be	134.00 e	136.03 e	138.06 e	140.86 e	141.79 e	143.13 e	148.52 e	152.24 e	159.94 e	170.71 e	180.99 e	189.13 e	205.66 e	220.60 e	233.48 e	251.93 e	266.35 e	280.46 e	294.74 e	364.05 e	358.50 e	382.39 e
A,HAB_P,FI19	: 	: 	: 	: 	: 	: 	127.41 e	132.44 be	133.91 e	135.87 e	137.01 e	137.99 e	138.06 e	140.11 e	145.72 e	148.28 e	152.92 e	155.78 e	168.67 e	176.58 e	192.89 e	216.57 e	221.61 e	248.44 e	252.05 e	274.15 e	286.50 e	353.89 e	355.17 e	363.41 e
A,HAB_P,FI1B	: 	: 	: 	: 	: 	: 	: e	152.16 be	155.94 e	160.80 e	167.30 e	177.51 e	182.90 e	184.43 e	190.23 e	193.93 e	200.36 e	244.61 e	241.49 e	258.02 e	274.50 e	290.42 e	291.73 e	309.98 e	307.50 e	352.55 e	377.44 e	436.04 e	425.69 e	490.58 e
A,HAB_P,FI1C	: 	: 	: 	: 	: 	: 	: e	129.69 be	130.29 e	133.23 e	134.62 e	133.55 e	132.63 e	132.77 e	139.04 e	143.58 e	155.50 e	152.07 e	171.70 e	178.83 e	200.02 e	210.81 e	233.62 e	250.45 e	290.47 e	285.29 e	286.90 e	370.01 e	349.88 e	372.61 e
