freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RT,BE32	5.6 	7.1 	7.1 	7.8 	8.0 	5.2 	5.4 	5.6 	5.5 	4.5 	4.7 	4.6 	4.8 	2.8 	3.6 	3.9 	4.4 	4.9 	3.4 	3.8 	4.8 	3.7 	3.0 	4.8 	4.7 	3.5 	4.0 	3.9 	4.5 	4.4 	2.9 	3.8 	4.3 
A,RT,BE33	7.9 	7.8 	8.6 	8.1 	6.3 	5.6 	4.6 	5.8 	5.5 	5.3 	5.0 	4.6 	4.2 	4.7 	4.3 	4.7 	3.9 	2.9 	2.5 	3.0 	2.8 	3.2 	3.6 	3.0 	3.8 	3.2 	2.6 	3.4 	3.7 	3.3 	2.6 	2.4 	2.7 
A,RT,BE34	5.4 	9.1 	10.1 	9.0 	7.1 	6.6 	4.8 	7.2 	4.0 	6.6 	2.7 	5.7 	3.1 	2.9 	4.9 	4.6 	5.5 	2.5 	3.5 	5.4 	2.1 	3.0 	3.5 	4.2 	3.4 	2.2 	2.7 	2.6 	2.0 	4.1 	4.1 	1.9 	3.2 
A,RT,BE35	7.0 	8.0 	4.6 	6.2 	4.9 	8.4 	5.0 	6.8 	5.6 	5.8 	6.4 	5.6 	4.7 	3.6 	3.3 	4.0 	4.1 	3.2 	4.2 	3.9 	3.4 	2.5 	3.1 	3.7 	2.5 	2.3 	3.6 	2.9 	2.9 	2.9 	2.5 	2.8 	2.7 
A,RT,BG	14.8 	16.9 	15.9 	15.5 	16.3 	14.8 	15.6 	17.5 	14.4 	14.6 	13.3 	14.4 	13.3 	12.3 	11.6 	10.4 	9.7 	9.2 	8.6 	9.0 	9.4 	8.5 	7.8 	7.3 	7.6 	6.6 	6.5 	6.4 	5.8 	5.6 	5.1 	5.6 	4.8 
A,RT,BG3	14.9 	18.3 	16.0 	15.9 	18.2 	16.0 	17.0 	19.9 	15.6 	15.6 	15.0 	17.4 	15.0 	14.3 	14.0 	11.6 	11.2 	10.9 	9.6 	10.6 	12.1 	9.4 	9.5 	8.0 	8.4 	7.9 	7.6 	8.0 	6.6 	6.7 	6.2 	7.5 	6.5 
A,RT,BG31	12.4 	18.3 	15.5 	14.0 	17.5 	16.8 	17.8 	16.8 	18.3 	14.4 	13.7 	14.8 	13.2 	11.7 	15.6 	13.3 	11.8 	11.2 	9.1 	10.8 	9.4 	8.6 	10.3 	8.7 	8.9 	7.8 	9.3 	8.1 	7.9 	5.3 	5.9 	7.1 	7.3 
A,RT,BG32	13.7 	14.9 	14.5 	14.5 	17.5 	15.7 	16.1 	20.7 	13.1 	12.9 	13.1 	15.1 	13.3 	11.8 	10.6 	9.6 	7.5 	8.1 	8.0 	8.8 	8.5 	9.0 	8.3 	7.5 	7.0 	8.0 	6.5 	7.4 	5.4 	5.9 	6.1 	6.4 	6.0 
A,RT,BG33	15.9 	19.7 	15.4 	16.4 	16.7 	15.0 	18.0 	17.8 	14.5 	16.1 	15.7 	18.4 	14.5 	14.0 	11.1 	10.9 	11.8 	9.4 	10.3 	9.0 	12.4 	8.6 	8.6 	6.6 	6.7 	6.5 	5.3 	7.5 	6.0 	5.0 	4.7 	5.8 	4.2 
A,RT,BG34	16.9 	19.8 	18.2 	18.0 	20.6 	16.4 	16.2 	23.4 	16.1 	18.0 	16.7 	20.2 	18.0 	18.1 	17.7 	12.5 	12.7 	13.9 	10.4 	13.2 	15.8 	10.8 	10.5 	9.0 	10.3 	8.9 	9.1 	8.8 	7.0 	9.4 	7.7 	9.6 	8.2 
